school_id,school_name,region,school_type,urbanicity,teacher_student_ratio,digital_readiness_score,implementation_quality
SCH055,School 055,West,Public,Urban,0.0318,54.8,73.8
SCH056,School 056,West,Private,Suburban,0.0341,47.4,58.5
SCH057,School 057,East,Public,Rural,0.0426,66.3,88.9
SCH058,School 058,East,Private,Urban,0.018,65.4,79.2
SCH059,School 059,North,Charter,Urban,0.0271,84.0,73.7
SCH060,School 060,North,Charter,Suburban,0.0354,58.6,65.8
SCH061,School 061,West,Public,Urban,0.0202,79.6,38.7
SCH062,School 062,East,Low-cost Private,Rural,0.0416,29.8,83.7
SCH063,School 063,East,Public,Urban,0.0338,69.4,47.7
SCH064,School 064,West,Public,Urban,0.0372,56.7,86.4
SCH065,School 065,West,Private,Rural,0.0273,19.9,83.8
SCH066,School 066,East,Public,Urban,0.0369,54.1,77.5
SCH067,School 067,East,Low-cost Private,Urban,0.0387,47.8,51.4
SCH068,School 068,South,Charter,Urban,0.0329,63.4,48.8
SCH069,School 069,North,Public,Urban,0.0329,86.3,71.7
SCH070,School 070,East,Low-cost Private,Urban,0.0331,95.6,73.5
SCH071,School 071,North,Public,Urban,0.0252,58.4,34.9
SCH072,School 072,South,Private,Urban,0.0302,55.8,69.7
SCH073,School 073,Central,Public,Urban,0.0302,85.6,38.4
SCH074,School 074,South,Low-cost Private,Suburban,0.0339,44.0,58.0
SCH075,School 075,North,Public,Suburban,0.0382,60.1,70.8
SCH076,School 076,South,Public,Urban,0.0238,85.0,40.7
SCH077,School 077,South,Public,Urban,0.0304,82.5,49.5
SCH078,School 078,West,Low-cost Private,Suburban,0.0416,57.2,62.1
SCH079,School 079,East,Low-cost Private,Rural,0.026,95.5,56.1
SCH080,School 080,West,Charter,Rural,0.0255,38.0,66.9
SCH081,School 081,West,Low-cost Private,Urban,0.0327,37.2,84.2
SCH082,School 082,South,Low-cost Private,Urban,0.0372,61.0,79.0
SCH083,School 083,Central,Private,Urban,0.0313,84.7,64.6
SCH084,School 084,North,Public,Urban,0.0406,90.3,79.5
SCH085,School 085,North,Charter,Suburban,0.0372,66.3,71.8
SCH086,School 086,North,Private,Urban,0.0371,52.2,67.0
SCH087,School 087,West,Public,Urban,0.0351,87.9,44.5
SCH088,School 088,East,Public,Urban,0.0475,64.9,64.1
SCH089,School 089,North,Charter,Suburban,0.0298,59.4,68.6
SCH090,School 090,East,Public,Urban,0.018,29.0,45.8
SCH091,School 091,North,Low-cost Private,Rural,0.0425,53.1,79.3
SCH092,School 092,West,Public,Urban,0.028,87.1,65.0
SCH093,School 093,East,Public,Rural,0.032,84.6,60.4
SCH094,School 094,South,Low-cost Private,Urban,0.0404,91.8,92.7
SCH095,School 095,South,Public,Rural,0.02,56.6,86.4
SCH096,School 096,West,Public,Rural,0.0225,71.1,33.5
SCH097,School 097,South,Private,Rural,0.02,88.4,90.8
SCH098,School 098,North,Low-cost Private,Rural,0.0257,80.0,83.4
SCH099,School 099,North,Public,Rural,0.0343,85.7,63.7
SCH100,School 100,Central,Public,Suburban,0.0349,70.3,67.6
