student_id,school_id,grade,gender,socioeconomic_band,device_access,internet_quality,enrollment_date,baseline_engagement_score,dropout_probability,dropped_out,dropout_day,dropout_date
STU00021,SCH089,7,Male,Middle,Laptop/Desktop,Good,2025-08-12,0.98,0.064,False,,
STU00022,SCH068,7,Female,Low,Shared phone,Good,2025-08-17,0.312,0.622,True,34.0,2025-09-04
STU00023,SCH015,8,Female,Middle,Shared phone,Good,2025-08-18,0.762,0.199,False,,
STU00024,SCH069,7,Female,High,Shared phone,Moderate,2025-08-04,0.866,0.143,True,73.0,2025-10-13
STU00025,SCH075,8,Male,Middle,Own phone,Moderate,2025-08-16,0.968,0.065,False,,
STU00026,SCH083,10,Non-binary,Middle,Own phone,Poor,2025-08-21,0.46,0.421,False,,
STU00027,SCH069,8,Male,Middle,Laptop/Desktop,Moderate,2025-08-17,0.949,0.069,False,,
STU00028,SCH002,8,Male,Middle,Own phone,Moderate,2025-08-16,0.98,0.059,False,,
STU00029,SCH047,6,Female,Middle,Laptop/Desktop,Poor,2025-08-17,0.98,0.092,False,,
STU00030,SCH071,12,Male,Low,Own phone,Poor,2025-08-12,0.495,0.531,False,,
STU00031,SCH054,8,Male,Middle,Own phone,Good,2025-08-13,0.98,0.062,False,,
STU00032,SCH074,8,Female,Low,Shared phone,Poor,2025-08-12,0.203,0.72,False,,
STU00033,SCH040,6,Male,Middle,Shared phone,Good,2025-08-21,0.838,0.161,False,,
STU00034,SCH007,10,Male,Middle,Laptop/Desktop,Good,2025-08-08,0.98,0.077,False,,
STU00035,SCH029,11,Female,Low,Tablet,Good,2025-08-17,0.621,0.3,False,,
STU00036,SCH026,6,Male,Low,Own phone,Poor,2025-08-01,0.55,0.377,True,77.0,2025-10-17
STU00037,SCH042,7,Female,High,Laptop/Desktop,Good,2025-08-09,0.98,0.056,False,,
STU00038,SCH021,7,Female,Low,Laptop/Desktop,Moderate,2025-08-20,0.766,0.158,False,,
STU00039,SCH028,9,Female,Low,Shared phone,Moderate,2025-08-06,0.335,0.577,True,37.0,2025-09-07
STU00040,SCH019,12,Female,Low,Own phone,Moderate,2025-08-17,0.667,0.256,False,,
STU00041,SCH019,8,Female,Middle,Laptop/Desktop,Poor,2025-08-11,0.693,0.216,False,,
STU00042,SCH059,8,Male,Low,Laptop/Desktop,Good,2025-08-03,0.789,0.152,False,,
STU00043,SCH031,10,Female,High,Shared phone,Good,2025-08-03,0.955,0.14,True,54.0,2025-09-24
STU00044,SCH070,10,Male,Middle,Shared phone,Moderate,2025-08-03,0.61,0.319,True,43.0,2025-09-13
STU00045,SCH004,7,Male,Low,Own phone,Good,2025-08-10,0.663,0.255,True,42.0,2025-09-12
STU00046,SCH089,7,Female,Middle,Shared phone,Moderate,2025-08-07,0.538,0.328,False,,
STU00047,SCH076,8,Female,Low,Shared phone,Good,2025-08-19,0.721,0.318,False,,
STU00048,SCH010,10,Male,Low,Tablet,Good,2025-08-17,0.922,0.125,False,,
STU00049,SCH004,10,Male,Middle,Own phone,Poor,2025-08-04,0.438,0.487,True,63.0,2025-10-03
STU00050,SCH029,10,Male,Low,Shared phone,Good,2025-08-11,0.383,0.614,False,,
STU00051,SCH079,11,Female,High,Own phone,Good,2025-08-17,0.98,0.084,False,,
STU00052,SCH004,7,Male,Middle,Shared phone,Moderate,2025-08-14,0.768,0.225,True,32.0,2025-09-02
STU00053,SCH039,8,Male,Low,Own phone,Good,2025-08-01,0.907,0.129,False,,
STU00054,SCH035,6,Male,High,Laptop/Desktop,Moderate,2025-08-01,0.98,0.066,False,,
STU00055,SCH092,11,Female,Middle,Laptop/Desktop,Poor,2025-08-13,0.712,0.245,False,,
STU00056,SCH051,9,Male,Low,Shared phone,Poor,2025-08-20,0.363,0.637,True,42.0,2025-09-12
STU00057,SCH040,8,Female,Middle,Laptop/Desktop,Moderate,2025-08-02,0.869,0.091,False,,
STU00058,SCH002,6,Male,High,Laptop/Desktop,Poor,2025-08-04,0.859,0.127,True,22.0,2025-08-23
STU00059,SCH096,10,Male,Middle,Own phone,Poor,2025-08-04,0.704,0.286,False,,
STU00060,SCH016,10,Male,Middle,Laptop/Desktop,Good,2025-08-07,0.98,0.074,False,,
STU00061,SCH075,10,Female,Middle,Shared phone,Moderate,2025-08-19,0.483,0.417,False,,
STU00062,SCH034,7,Male,Low,Shared phone,Good,2025-08-20,0.772,0.257,False,,
STU00063,SCH004,12,Female,Low,Laptop/Desktop,Poor,2025-08-07,0.412,0.602,False,,
STU00064,SCH084,10,Male,Middle,Own phone,Poor,2025-08-16,0.462,0.399,True,57.0,2025-09-27
STU00065,SCH088,10,Male,High,Own phone,Good,2025-08-01,0.865,0.112,False,,
STU00066,SCH046,10,Male,Middle,Shared phone,Moderate,2025-08-11,0.586,0.338,True,52.0,2025-09-22
STU00067,SCH052,12,Female,Low,Shared phone,Moderate,2025-08-14,0.356,0.636,True,64.0,2025-10-04
STU00068,SCH074,12,Male,Middle,Shared phone,Good,2025-08-19,0.658,0.305,True,32.0,2025-09-02
STU00069,SCH019,9,Female,Low,Shared phone,Moderate,2025-08-18,0.619,0.358,False,,
STU00070,SCH002,8,Male,Low,Laptop/Desktop,Moderate,2025-08-02,0.862,0.118,False,,
STU00071,SCH076,8,Male,Middle,Own phone,Moderate,2025-08-09,0.744,0.146,True,49.0,2025-09-19
STU00072,SCH069,11,Male,Low,Laptop/Desktop,Poor,2025-08-02,0.777,0.27,False,,
STU00073,SCH060,10,Male,High,Shared phone,Good,2025-08-01,0.91,0.158,False,,
STU00074,SCH044,6,Male,Middle,Own phone,Moderate,2025-08-04,0.809,0.109,False,,
STU00075,SCH057,7,Female,Middle,Laptop/Desktop,Poor,2025-08-20,0.874,0.119,False,,
STU00076,SCH070,12,Male,High,Shared phone,Moderate,2025-08-06,0.684,0.27,False,,
STU00077,SCH082,11,Female,Middle,Own phone,Moderate,2025-08-16,0.663,0.181,False,,
STU00078,SCH041,12,Female,High,Laptop/Desktop,Moderate,2025-08-15,0.98,0.079,False,,
STU00079,SCH053,8,Male,Middle,Shared phone,Good,2025-08-19,0.769,0.176,False,,
STU00080,SCH096,11,Female,Middle,Shared phone,Good,2025-08-12,0.681,0.32,True,41.0,2025-09-11
STU00081,SCH035,11,Male,Low,Laptop/Desktop,Moderate,2025-08-21,0.591,0.308,False,,
STU00082,SCH057,8,Non-binary,Low,Own phone,Good,2025-08-09,0.928,0.095,False,,
STU00083,SCH074,7,Female,High,Tablet,Good,2025-08-17,0.931,0.078,False,,
STU00084,SCH018,12,Female,Low,Shared phone,Poor,2025-08-17,0.383,0.719,False,,
STU00085,SCH078,6,Female,High,Shared phone,Poor,2025-08-12,0.75,0.289,False,,
STU00086,SCH092,9,Female,Low,Own phone,Poor,2025-08-07,0.579,0.368,False,,
STU00087,SCH020,10,Male,Middle,Tablet,Poor,2025-08-04,0.695,0.259,False,,
STU00088,SCH047,10,Male,Low,Own phone,Moderate,2025-08-02,0.703,0.221,False,,
STU00089,SCH061,7,Male,High,Laptop/Desktop,Moderate,2025-08-11,0.98,0.075,True,64.0,2025-10-04
STU00090,SCH074,10,Female,Low,Laptop/Desktop,Good,2025-08-09,0.894,0.148,False,,
STU00091,SCH045,7,Male,Low,Own phone,Moderate,2025-08-05,0.756,0.153,False,,
STU00092,SCH062,11,Female,High,Own phone,Poor,2025-08-17,0.763,0.198,False,,
STU00093,SCH084,7,Male,Low,Own phone,Good,2025-08-04,0.784,0.149,False,,
STU00094,SCH031,10,Male,Low,Tablet,Moderate,2025-08-10,0.937,0.127,False,,
STU00095,SCH087,11,Female,High,Shared phone,Poor,2025-08-10,0.447,0.597,True,65.0,2025-10-05
STU00096,SCH042,7,Male,High,Laptop/Desktop,Poor,2025-08-21,0.86,0.122,False,,
STU00097,SCH027,7,Male,Low,Own phone,Good,2025-08-03,0.885,0.108,False,,
STU00098,SCH090,10,Female,Middle,Laptop/Desktop,Moderate,2025-08-18,0.862,0.124,False,,
STU00099,SCH051,6,Male,Low,Laptop/Desktop,Moderate,2025-08-15,0.673,0.192,False,,
STU00100,SCH040,7,Male,Low,Shared phone,Good,2025-08-17,0.59,0.383,True,57.0,2025-09-27
STU00101,SCH052,9,Female,Middle,Own phone,Good,2025-08-17,0.578,0.214,False,,
STU00102,SCH075,12,Female,Low,Own phone,Good,2025-08-17,0.662,0.254,True,49.0,2025-09-19
STU00103,SCH075,9,Male,Middle,Own phone,Good,2025-08-10,0.852,0.092,False,,
STU00104,SCH034,8,Male,Low,Laptop/Desktop,Good,2025-08-13,0.98,0.093,True,37.0,2025-09-07
STU00105,SCH037,12,Male,High,Shared phone,Poor,2025-08-08,0.411,0.595,True,53.0,2025-09-23
STU00106,SCH082,9,Male,Middle,Tablet,Moderate,2025-08-19,0.84,0.091,False,,
STU00107,SCH046,8,Male,Low,Laptop/Desktop,Moderate,2025-08-05,0.98,0.089,False,,
STU00108,SCH064,8,Female,High,Laptop/Desktop,Moderate,2025-08-13,0.98,0.058,False,,
STU00109,SCH068,8,Female,High,Shared phone,Moderate,2025-08-05,0.582,0.322,False,,
STU00110,SCH001,8,Female,Low,Laptop/Desktop,Moderate,2025-08-08,0.98,0.085,False,,
STU00111,SCH098,10,Male,High,Shared phone,Moderate,2025-08-21,0.802,0.193,False,,
STU00112,SCH047,6,Male,Low,Own phone,Moderate,2025-08-05,0.592,0.245,True,60.0,2025-09-30
STU00113,SCH091,10,Male,Low,Shared phone,Moderate,2025-08-19,0.385,0.576,False,,
STU00114,SCH082,7,Female,Middle,Own phone,Good,2025-08-18,0.638,0.161,False,,
STU00115,SCH048,8,Male,Low,Shared phone,Moderate,2025-08-08,0.575,0.367,True,79.0,2025-10-19
STU00116,SCH065,7,Male,Middle,Shared phone,Good,2025-08-08,0.609,0.262,False,,
STU00117,SCH064,9,Female,Middle,Own phone,Moderate,2025-08-01,0.844,0.087,True,51.0,2025-09-21
STU00118,SCH020,10,Female,High,Laptop/Desktop,Moderate,2025-08-17,0.98,0.082,False,,
STU00119,SCH065,8,Male,Low,Own phone,Good,2025-08-14,0.928,0.097,False,,
STU00120,SCH090,7,Male,Low,Tablet,Good,2025-08-21,0.696,0.22,False,,
STU00121,SCH002,7,Male,Low,Tablet,Good,2025-08-07,0.852,0.121,True,64.0,2025-10-04
STU00122,SCH066,11,Female,Low,Own phone,Good,2025-08-09,0.897,0.134,False,,
STU00123,SCH093,7,Male,High,Shared phone,Moderate,2025-08-15,0.652,0.262,False,,
STU00124,SCH088,10,Female,Middle,Shared phone,Good,2025-08-08,0.829,0.197,True,43.0,2025-09-13
STU00125,SCH067,8,Female,Middle,Own phone,Good,2025-08-07,0.98,0.07,False,,
STU00126,SCH097,7,Male,Middle,Laptop/Desktop,Good,2025-08-04,0.98,0.057,False,,
STU00127,SCH079,10,Female,Low,Shared phone,Good,2025-08-21,0.748,0.328,False,,
STU00128,SCH096,9,Male,Low,Tablet,Good,2025-08-10,0.916,0.131,False,,
STU00129,SCH060,6,Female,Middle,Laptop/Desktop,Moderate,2025-08-17,0.911,0.08,False,,
STU00130,SCH046,12,Female,High,Laptop/Desktop,Moderate,2025-08-14,0.98,0.077,False,,
STU00131,SCH076,7,Female,Low,Own phone,Moderate,2025-08-13,0.565,0.307,True,67.0,2025-10-07
STU00132,SCH063,8,Male,Low,Laptop/Desktop,Moderate,2025-08-07,0.924,0.119,False,,
STU00133,SCH064,8,Female,Middle,Own phone,Moderate,2025-08-07,0.725,0.122,False,,
STU00134,SCH087,9,Female,Low,Own phone,Good,2025-08-11,0.85,0.148,False,,
STU00135,SCH017,11,Female,Middle,Tablet,Moderate,2025-08-03,0.98,0.069,False,,
STU00136,SCH004,6,Female,Low,Shared phone,Moderate,2025-08-12,0.371,0.602,True,61.0,2025-10-01
STU00137,SCH077,12,Male,Middle,Laptop/Desktop,Poor,2025-08-02,0.63,0.316,False,,
STU00138,SCH085,10,Female,Middle,Tablet,Moderate,2025-08-06,0.861,0.109,False,,
STU00139,SCH020,12,Female,High,Laptop/Desktop,Moderate,2025-08-14,0.884,0.108,False,,
STU00140,SCH024,11,Male,Middle,Laptop/Desktop,Moderate,2025-08-01,0.877,0.12,True,52.0,2025-09-22
STU00141,SCH071,12,Female,Low,Own phone,Poor,2025-08-01,0.253,0.711,False,,
STU00142,SCH019,9,Male,Middle,Shared phone,Moderate,2025-08-05,0.531,0.336,False,,
STU00143,SCH013,8,Female,Middle,Own phone,Moderate,2025-08-16,0.954,0.063,False,,
STU00144,SCH081,8,Male,Middle,Laptop/Desktop,Moderate,2025-08-17,0.98,0.059,True,34.0,2025-09-04
STU00145,SCH032,10,Female,High,Tablet,Moderate,2025-08-01,0.914,0.09,False,,
STU00146,SCH045,8,Male,Middle,Laptop/Desktop,Good,2025-08-06,0.95,0.062,False,,
STU00147,SCH009,10,Female,Low,Own phone,Good,2025-08-02,0.899,0.139,False,,
STU00148,SCH031,6,Non-binary,Middle,Own phone,Good,2025-08-01,0.96,0.069,False,,
STU00149,SCH075,11,Female,Low,Laptop/Desktop,Poor,2025-08-20,0.818,0.246,False,,
STU00150,SCH011,7,Male,Middle,Tablet,Moderate,2025-08-09,0.98,0.058,False,,
STU00151,SCH087,12,Male,High,Own phone,Poor,2025-08-17,0.673,0.293,False,,
STU00152,SCH063,7,Female,Middle,Shared phone,Moderate,2025-08-15,0.57,0.332,False,,
STU00153,SCH034,6,Female,Low,Laptop/Desktop,Poor,2025-08-10,0.729,0.267,True,70.0,2025-10-10
STU00154,SCH009,11,Female,High,Laptop/Desktop,Poor,2025-08-16,0.98,0.119,False,,
STU00155,SCH096,11,Non-binary,Middle,Own phone,Moderate,2025-08-06,0.671,0.219,False,,
STU00156,SCH023,10,Male,Low,Own phone,Moderate,2025-08-09,0.763,0.207,False,,
STU00157,SCH007,12,Male,High,Shared phone,Moderate,2025-08-08,0.688,0.269,True,61.0,2025-10-01
STU00158,SCH079,7,Female,Low,Own phone,Moderate,2025-08-13,0.852,0.139,False,,
STU00159,SCH016,11,Male,Middle,Shared phone,Good,2025-08-05,0.525,0.372,True,32.0,2025-09-02
STU00160,SCH064,8,Female,Middle,Shared phone,Moderate,2025-08-16,0.878,0.129,False,,
STU00161,SCH080,9,Female,High,Laptop/Desktop,Moderate,2025-08-18,0.98,0.065,False,,
STU00162,SCH052,8,Female,Low,Own phone,Moderate,2025-08-19,0.543,0.308,False,,
STU00163,SCH092,6,Female,Low,Laptop/Desktop,Poor,2025-08-19,0.801,0.223,False,,
STU00164,SCH077,9,Male,Middle,Own phone,Poor,2025-08-14,0.63,0.27,False,,
STU00165,SCH020,10,Male,High,Shared phone,Moderate,2025-08-17,0.566,0.367,False,,
STU00166,SCH079,7,Female,Low,Own phone,Poor,2025-08-15,0.276,0.618,False,,
STU00167,SCH023,12,Female,Low,Shared phone,Poor,2025-08-21,0.433,0.673,False,,
STU00168,SCH001,9,Male,High,Tablet,Good,2025-08-03,0.98,0.06,False,,
STU00169,SCH044,7,Male,Middle,Laptop/Desktop,Good,2025-08-05,0.98,0.066,False,,
STU00170,SCH031,10,Female,Low,Tablet,Poor,2025-08-09,0.53,0.459,False,,
STU00171,SCH083,7,Female,Low,Tablet,Moderate,2025-08-14,0.963,0.097,False,,
STU00172,SCH077,6,Male,Middle,Laptop/Desktop,Good,2025-08-19,0.98,0.071,False,,
STU00173,SCH086,10,Male,Middle,Tablet,Moderate,2025-08-02,0.915,0.096,False,,
STU00174,SCH054,6,Male,Middle,Own phone,Good,2025-08-04,0.931,0.072,False,,
STU00175,SCH042,6,Female,Middle,Tablet,Poor,2025-08-19,0.669,0.204,False,,
STU00176,SCH069,10,Male,Low,Own phone,Good,2025-08-07,0.914,0.131,False,,
STU00177,SCH096,6,Female,Middle,Shared phone,Poor,2025-08-01,0.545,0.48,False,,
STU00178,SCH040,11,Male,Low,Tablet,Moderate,2025-08-15,0.648,0.271,False,,
STU00179,SCH077,11,Female,High,Tablet,Good,2025-08-19,0.98,0.087,False,,
STU00180,SCH045,7,Female,Low,Shared phone,Good,2025-08-19,0.697,0.274,False,,
STU00181,SCH046,9,Female,Low,Laptop/Desktop,Poor,2025-08-18,0.707,0.271,False,,
STU00182,SCH088,6,Female,Low,Shared phone,Good,2025-08-02,0.857,0.208,False,,
STU00183,SCH048,10,Female,Low,Tablet,Good,2025-08-03,0.854,0.146,True,59.0,2025-09-29
STU00184,SCH077,6,Male,Middle,Laptop/Desktop,Moderate,2025-08-19,0.943,0.079,False,,
STU00185,SCH031,12,Male,Middle,Own phone,Poor,2025-08-15,0.6,0.317,True,44.0,2025-09-14
STU00186,SCH081,7,Male,High,Laptop/Desktop,Moderate,2025-08-05,0.946,0.065,False,,
STU00187,SCH090,10,Female,Middle,Laptop/Desktop,Good,2025-08-09,0.746,0.17,True,36.0,2025-09-06
STU00188,SCH023,6,Female,Middle,Tablet,Poor,2025-08-19,0.737,0.198,False,,
STU00189,SCH055,7,Female,Low,Laptop/Desktop,Moderate,2025-08-20,0.886,0.116,False,,
STU00190,SCH028,9,Female,Middle,Tablet,Poor,2025-08-19,0.716,0.201,False,,
STU00191,SCH006,9,Female,Low,Own phone,Poor,2025-08-10,0.459,0.477,False,,
STU00192,SCH089,12,Male,Low,Tablet,Moderate,2025-08-17,0.591,0.302,True,41.0,2025-09-11
STU00193,SCH019,6,Male,Low,Own phone,Moderate,2025-08-01,0.737,0.181,False,,
STU00194,SCH042,6,Female,Low,Own phone,Poor,2025-08-20,0.606,0.314,False,,
STU00195,SCH033,8,Male,Middle,Shared phone,Poor,2025-08-05,0.497,0.48,False,,
STU00196,SCH052,8,Male,Low,Own phone,Poor,2025-08-21,0.428,0.505,False,,
STU00197,SCH088,11,Female,Low,Laptop/Desktop,Poor,2025-08-01,0.628,0.384,True,72.0,2025-10-12
STU00198,SCH005,12,Male,High,Laptop/Desktop,Poor,2025-08-20,0.98,0.108,False,,
STU00199,SCH092,11,Female,Low,Laptop/Desktop,Good,2025-08-12,0.98,0.113,False,,
STU00200,SCH019,7,Female,Middle,Shared phone,Poor,2025-08-11,0.527,0.448,False,,
STU00201,SCH079,8,Non-binary,Low,Own phone,Moderate,2025-08-15,0.516,0.322,False,,
STU00202,SCH031,10,Male,High,Own phone,Moderate,2025-08-10,0.98,0.08,True,49.0,2025-09-19
STU00203,SCH010,8,Female,Middle,Shared phone,Good,2025-08-20,0.77,0.18,False,,
STU00204,SCH024,10,Female,Low,Own phone,Good,2025-08-03,0.724,0.246,False,,
STU00205,SCH079,7,Male,High,Own phone,Good,2025-08-14,0.933,0.079,False,,
STU00206,SCH006,8,Female,Middle,Laptop/Desktop,Moderate,2025-08-05,0.98,0.069,False,,
STU00207,SCH039,11,Male,Low,Shared phone,Poor,2025-08-01,0.05,0.72,True,51.0,2025-09-21
STU00208,SCH074,7,Male,Middle,Laptop/Desktop,Poor,2025-08-14,0.898,0.13,True,52.0,2025-09-22
STU00209,SCH069,12,Female,Middle,Laptop/Desktop,Poor,2025-08-15,0.812,0.185,False,,
STU00210,SCH090,8,Male,Low,Tablet,Good,2025-08-03,0.556,0.307,False,,
STU00211,SCH064,6,Male,Low,Shared phone,Moderate,2025-08-16,0.778,0.23,True,47.0,2025-09-17
STU00212,SCH028,7,Male,Low,Shared phone,Good,2025-08-20,0.703,0.296,False,,
STU00213,SCH044,7,Female,Middle,Laptop/Desktop,Good,2025-08-15,0.818,0.106,False,,
STU00214,SCH076,9,Female,High,Shared phone,Good,2025-08-05,0.763,0.218,False,,
STU00215,SCH074,6,Female,Middle,Shared phone,Moderate,2025-08-02,0.668,0.255,False,,
STU00216,SCH020,10,Male,High,Laptop/Desktop,Good,2025-08-02,0.98,0.082,False,,
STU00217,SCH034,11,Male,Low,Tablet,Moderate,2025-08-13,0.703,0.237,False,,
STU00218,SCH034,8,Male,Middle,Tablet,Poor,2025-08-05,0.461,0.369,True,77.0,2025-10-17
STU00219,SCH094,7,Male,High,Shared phone,Moderate,2025-08-08,0.98,0.093,False,,
STU00220,SCH054,8,Female,Middle,Own phone,Good,2025-08-02,0.98,0.062,False,,
STU00221,SCH031,11,Female,Low,Laptop/Desktop,Good,2025-08-10,0.689,0.244,False,,
STU00222,SCH005,9,Male,Low,Own phone,Moderate,2025-08-04,0.761,0.154,False,,
STU00223,SCH096,6,Male,Low,Shared phone,Good,2025-08-09,0.633,0.392,False,,
STU00224,SCH024,9,Male,Middle,Shared phone,Moderate,2025-08-13,0.534,0.363,False,,
STU00225,SCH096,9,Female,High,Tablet,Good,2025-08-21,0.938,0.087,False,,
STU00226,SCH028,8,Female,Middle,Own phone,Moderate,2025-08-07,0.764,0.12,False,,
STU00227,SCH086,6,Male,Low,Laptop/Desktop,Poor,2025-08-07,0.608,0.344,True,22.0,2025-08-23
STU00228,SCH023,12,Female,Low,Own phone,Moderate,2025-08-17,0.631,0.285,False,,
STU00229,SCH090,7,Female,Middle,Shared phone,Good,2025-08-21,0.747,0.222,False,,
STU00230,SCH039,7,Male,Middle,Laptop/Desktop,Good,2025-08-09,0.807,0.123,True,43.0,2025-09-13
STU00231,SCH044,7,Male,Low,Laptop/Desktop,Moderate,2025-08-08,0.845,0.137,True,53.0,2025-09-23
STU00232,SCH021,9,Male,Middle,Tablet,Poor,2025-08-15,0.747,0.178,False,,
STU00233,SCH088,8,Male,Low,Laptop/Desktop,Poor,2025-08-16,0.649,0.319,True,25.0,2025-08-26
STU00234,SCH056,7,Male,Middle,Shared phone,Good,2025-08-15,0.677,0.249,True,54.0,2025-09-24
STU00235,SCH066,8,Female,Middle,Own phone,Moderate,2025-08-14,0.976,0.062,False,,
STU00236,SCH024,10,Female,Low,Shared phone,Moderate,2025-08-03,0.563,0.487,True,44.0,2025-09-14
STU00237,SCH056,7,Male,Middle,Own phone,Poor,2025-08-06,0.561,0.305,True,40.0,2025-09-10
STU00238,SCH014,12,Female,Middle,Laptop/Desktop,Poor,2025-08-02,0.702,0.251,False,,
STU00239,SCH094,8,Male,Middle,Laptop/Desktop,Good,2025-08-09,0.98,0.056,True,45.0,2025-09-15
STU00240,SCH097,7,Male,Middle,Shared phone,Moderate,2025-08-18,0.887,0.123,True,49.0,2025-09-19
STU00241,SCH088,12,Female,Middle,Own phone,Poor,2025-08-05,0.48,0.407,False,,
STU00242,SCH042,11,Male,Low,Laptop/Desktop,Poor,2025-08-15,0.537,0.415,False,,
STU00243,SCH046,8,Male,High,Own phone,Moderate,2025-08-09,0.973,0.064,False,,
STU00244,SCH044,11,Female,High,Own phone,Poor,2025-08-04,0.544,0.36,False,,
STU00245,SCH083,9,Female,Low,Own phone,Poor,2025-08-05,0.298,0.589,True,37.0,2025-09-07
STU00246,SCH079,8,Male,High,Own phone,Good,2025-08-15,0.967,0.071,False,,
STU00247,SCH019,11,Female,Middle,Own phone,Moderate,2025-08-17,0.82,0.126,False,,
STU00248,SCH018,10,Female,Low,Own phone,Moderate,2025-08-07,0.759,0.219,False,,
STU00249,SCH092,8,Male,Middle,Own phone,Moderate,2025-08-20,0.774,0.119,False,,
STU00250,SCH018,9,Male,Low,Own phone,Moderate,2025-08-02,0.589,0.279,True,70.0,2025-10-10
STU00251,SCH047,8,Male,Middle,Own phone,Moderate,2025-08-13,0.911,0.074,True,48.0,2025-09-18
STU00252,SCH018,6,Male,High,Shared phone,Good,2025-08-05,0.747,0.217,False,,
STU00253,SCH042,12,Male,Middle,Shared phone,Moderate,2025-08-19,0.557,0.333,False,,
STU00254,SCH081,9,Female,Middle,Own phone,Good,2025-08-16,0.946,0.065,False,,
STU00255,SCH034,9,Female,Low,Laptop/Desktop,Moderate,2025-08-02,0.706,0.198,False,,
STU00256,SCH044,9,Male,Middle,Laptop/Desktop,Poor,2025-08-09,0.663,0.235,False,,
STU00257,SCH089,9,Female,Middle,Shared phone,Poor,2025-08-16,0.413,0.535,False,,
STU00258,SCH072,8,Male,Low,Own phone,Good,2025-08-12,0.822,0.141,False,,
STU00259,SCH097,12,Male,Middle,Own phone,Moderate,2025-08-11,0.684,0.162,False,,
STU00260,SCH006,10,Female,Low,Own phone,Good,2025-08-03,0.737,0.228,True,24.0,2025-08-25
STU00261,SCH004,10,Male,Middle,Tablet,Poor,2025-08-12,0.443,0.483,True,51.0,2025-09-21
STU00262,SCH098,9,Male,Middle,Laptop/Desktop,Moderate,2025-08-02,0.929,0.069,False,,
STU00263,SCH061,7,Male,Middle,Shared phone,Poor,2025-08-07,0.522,0.491,True,65.0,2025-10-05
STU00264,SCH035,6,Female,Middle,Own phone,Moderate,2025-08-06,0.825,0.104,False,,
STU00265,SCH090,8,Male,Middle,Own phone,Moderate,2025-08-14,0.889,0.094,False,,
STU00266,SCH047,7,Female,Middle,Own phone,Poor,2025-08-10,0.721,0.189,False,,
STU00267,SCH098,10,Male,Middle,Shared phone,Moderate,2025-08-09,0.776,0.206,True,63.0,2025-10-03
STU00268,SCH034,11,Male,Middle,Tablet,Moderate,2025-08-18,0.975,0.082,False,,
STU00269,SCH002,8,Female,High,Shared phone,Good,2025-08-09,0.917,0.117,False,,
STU00270,SCH094,8,Female,Low,Tablet,Good,2025-08-17,0.837,0.121,False,,
STU00271,SCH065,10,Male,Low,Tablet,Poor,2025-08-19,0.491,0.463,False,,
STU00272,SCH023,7,Male,High,Own phone,Poor,2025-08-04,0.659,0.24,False,,
STU00273,SCH045,12,Female,Low,Laptop/Desktop,Moderate,2025-08-16,0.748,0.188,False,,
STU00274,SCH092,8,Male,High,Laptop/Desktop,Moderate,2025-08-02,0.98,0.065,False,,
STU00275,SCH047,6,Male,Middle,Own phone,Moderate,2025-08-14,0.764,0.113,True,40.0,2025-09-10
